Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,450,202,1114,2054,3581,31,4010,65.000%,33.27233,8.46,10.02
TOTAL,2000,450,202,1114,2054,3581,31,4010,65.000%,33.27233,8.46,10.02
